55.9143046,-3.2773923,100
55.9755882,-3.2441072,100
55.9600385,-3.1456581,100
55.954253,-3.1976651,100
55.96759,-3.18715,100
55.9724397,-3.2651333,100
55.911728,-3.2656867,100
55.958934,-3.2168839,100
55.9367395,-3.1912067,100
55.9122124,-3.2828595,100
55.9363779,-2.9510358,100
55.9367395,-3.1912067,100
55.9367395,-3.1912067,100
55.9572019,-3.1914391,100
55.9297983,-3.3018553,100
55.953252,-3.188267,100
55.9466271,-3.1186505,100
55.9448855,-3.1974261,100
55.9448855,-3.1974261,100
55.9724484,-3.2295863,100
55.9738467,-3.1746002,100
55.9549809,-3.1870651,100
55.9383831,-3.197315,100
55.9345873,-3.2151694,100
55.9707206,-3.1798763,100
55.9597257,-3.2140138,100
55.9345873,-3.2151694,100
55.9607842,-3.293241,100
55.9597257,-3.2140138,100
55.9754122,-3.2554493,100
55.9653655,-3.1899846,100
55.9547073,-3.1139908,100
55.9239762,-3.2763822,100
55.9196183,-3.2801583,100
55.9244931,-3.2561811,100
55.9653655,-3.1899846,100
