Assault and robbery, Edinburgh	 Assault and robbery	12	55.9731785	-3.1731937	Henderson St
Assault and robbery, Edinburgh	 Assault and robbery	9	55.9696242	-3.161931	East Hermitage Pl
Assault and robbery, Edinburgh	 Assault and robbery	15	55.9423235	-3.1861714	Meadow Lane
Assault and Robbery. Edinburgh	Assault	15	55.9071039	-3.2665534	Gillespie Rd
Assault and Robbery Redbraes Park	Assault	16	55.96759	-3.18715	Pilrig
Assault and Robbery, Scottish Borders	 Assault and Robbery	14	55.4258223	-2.7878054	Commercial Rd
Assault and Robbery, West Lothian	 Assault and Robbery	14	55.9036812	-3.6402949	Jarvey St
Assault and Robbery Prestonpans	Assault	10	55.9506865	-3.1835262	High St
Assault, East Lothian	 Assault	8	55.9373983	-3.0339976	Pinkiehill Crescent
Assault, Edinburgh	 Assault	10	55.9071039	-3.2665534	Gillespie Rd
Assault, Edinburgh	 Assault	13	55.9600249	-3.1421051	Craigentinny
Assault Edinburgh - man charged	Assault	13	55.945458	-3.1879542	Bristo Square
Assault, Piershill - youths arrested	 Assault	15	55.9555795	-3.1453272	Piershill Square East
Assault, West Lothian	 Assault	8	55.8791899	-3.6205931	Beechwood Rd
ATM warning - East Lothian	Warning	10	55.953252	-3.188267	Waterloo Pl
Attempted robbery, Edinburgh	 Attempted robbery	13	55.9758693	-3.2098816	Zetland Pl
Attempted murder, warrant issued	 Attempted murder	10	55.9664682	-3.1755605	Leith Walk
Attempted robbery, Musselburgh	 Attempted robbery	10	55.9412455	-3.0233261	Delta Drive
Attempted Robbery at Post Office, Edinburgh	 Attempted Robbery at Post Office	16	55.9455156	-3.0916219	Milton Rd E
Attempted robbery, Edinburgh	 Attempted robbery	10	55.9728257	-3.2381267	Crewe Rd N
Attempted theft of motor fuel, West Lothian	 Attempted theft of motor fuel	11	55.8267906	-3.7017784	Burnside Terrace
Attempt murder,man charged	Murder	8	55.9591378	-3.2127506	Raeburn Pl
Attempt murder ,Edinburgh	Murder	8	55.9439507	-3.2128328	Upper Grove Pl
Attempt theft, Haddington	 Attempt theft	15	55.9554369	-2.781502	Court St
Autism Alert Card launched	 None	14	55.953252	-3.188267	Waterloo Pl
Bag snatch,Tranent	 None	9	55.8767956	-3.1490593	Church St
Bag snatch - Barnton	 None	10	55.9614886	-3.3037179	Barnton Grove
Bag snatch - Edinburgh	 None	10	55.9424256	-3.1842824	Buccleuch St
Bag snatch - Edinburgh	 None	12	55.9542449	-3.4026368	The Square
Bag snatch, Prestonpans	 Bag snatch	10	55.9567627	-2.9812091	West Loan
Bankcard scam warning	Warning	15	55.9741088	-3.2221784	Boswall Terrace
Best Bar None awards 2011 - West Lothian	 None	11	55.9750545	-3.3018954	Almond Bank Cottages
Bible appeal, Edinburgh	 Bible appeal	16	55.9545473	-3.2004067	Queen St
Bike thefts - North Edinburgh	 None	15	55.9574592	-3.21718	Comely Bank Ave
Bike recovered, West Lothian	 Bike recovered	14	55.9354934	-3.5056581	Dargai Pl
Bike theft initiative	 None	13	55.953252	-3.188267	Waterloo Pl
Blue Light Disco Cruise	 None	10	55.953252	-3.188267	Waterloo Pl
Body found,Edinburgh	 None	9	55.9508754	-3.1914633	Market St
Body Identified, Water to Leith	 Body Identified	13	55.8568052	-3.3552723	Cockburnhill Rd
Bogus caller, East Lothian	 Bogus caller	18	56.0574803	-2.7369919	Dirleton Ave
Bogus caller,Edinburgh	 None	8	55.9259422	-3.1756218	Rankin Ave
Bogus callers,Edinburgh	 None	9	55.9376902	-3.2073136	Viewforth Gardens
Bogus Callers in East and Midlothian	 None	16	55.953252	-3.188267	Waterloo Pl
Bogus callers, West Lothian	 Bogus callers	10	55.9803976	-3.58238	Springfield Rd
Bogus caller - Midlothian	 None	13	55.8728557	-3.0678727	Newbattle Rd
Bogus caller arrests, Edinburgh	 Bogus caller arrests	11	55.933134	-3.1274094	Niddrie Mains Rd
Bogus Caller, Edinburgh	 Bogus Caller	10	55.9479078	-3.1340013	Northfield Grove
Bogus Caller, Edinburgh	 Bogus Caller	16	55.9418171	-3.284625	Manse Rd
Bogus caller incidents, Edinburgh	 Bogus caller incidents	13	55.9665022	-3.1814121	Pilrig St
Bogus caller incidents, Midlothian	 Bogus caller incidents	13	55.8700321	-3.1251531	Gordon Ave
Bogus caller incident, Edinburgh	 Bogus caller incident	15	55.953252	-3.188267	Waterloo Pl
Bogus caller warning, Edinburgh	 Bogus caller warning	11	55.948429	-3.095107	Coillesdene Drive
Bogus caller warning	Warning	9	55.9462108	-3.1380424	Meadowfield Ave
Bogus Caller Warning, West Lothian	 Bogus Caller Warning	13	55.8979078	-3.6051376	Pentland Ave
Bogus caller warning	Warning	8	55.9284583	-3.2845576	Broomhouse Rd
Bogus caller warning - Edinburgh	Warning	9	55.953252	-3.188267	Waterloo Pl
Bogus caller, West Lothian	 Bogus caller	10	55.9070198	-3.5517167	Beechwood Park
Bogus workman,Edinburgh	 None	8	55.9239762	-3.2763822	Parkhead Gardens
Bogus workmen, Edinburgh	 Bogus workmen	14	55.9599208	-3.2634678	March Rd
Bogus workmen, West Lothian	 Bogus workmen	8	55.9803976	-3.58238	Springfield Rd
Bogus workmen,West Lothian	 None	14	55.8590409	-3.5519093	Chapelton Ave
Bogus workmen, Midlothian	 Bogus workmen	15	55.8287693	-3.23269	Carlops Rd
Scottish Borders murder victim named	Murder	11	55.953252	-3.188267	Waterloo Pl
Boulders placed on roadway, West Lothian	 Boulders placed on roadway	13	55.8304515	-3.5391245	B7008
Break in and theft, Edinburgh	 Break in and theft	13	55.953252	-3.188267	Waterloo Pl
Break-in, Dalkeith - Men arrested	 Break-in	15	55.894898	-3.0687963	Tait St
Break-in warning, East Lothian	 Break-in warning	11	55.9551174	-2.9842474	South Grange Ave
Bus Driver assaulted, West Lothian	 Bus Driver assaulted	15	55.8842826	-3.7720343	Main St
Bus window smash - Edinburgh	 None	10	55.9442783	-3.1098569	Magdalene
Cannabis cultivation discovered, Edinburgh	 Cannabis cultivation discovered	12	55.9327064	-3.2861919	E Forrester Park Gardens
Cannabis cultivation,Midlothian	 None	11	55.8756135	-3.0394221	Holly Bank
Cannabis cultivation West lothian	 None	9	55.953252	-3.188267	Waterloo Pl
Cannabis cultivations, Livingston	 Cannabis cultivations	10	55.8980814	-3.5265691	Curlew Brae
Cannabis cultivation, Edinburgh	 Cannabis cultivation	13	55.9645233	-3.1854473	Papermill Wynd
Cannabis cultivation recovered	 None	8	55.9700272	-3.2210362	Ferry Rd
Cannabis cultivation recovered	 None	15	55.9653655	-3.1899846	Broughton Rd
Car stolen, Midlothian	 Car stolen	9	55.8330521	-3.2246421	Carlops Ave
Cars damaged during fuel theft	 None	16	55.9524567	-3.1087645	Bellfield Lane
Cars damaged, Edinburgh	 Cars damaged	10	55.931619	-3.1819378	Fountainhall Rd
Car badges stolen, Edinburgh	 Car badges stolen	15	55.953252	-3.188267	Waterloo Pl
Car vandalisms, Edinburgh	 Car vandalisms	9	55.9632366	-3.1884815	Bellevue Rd
CashPoint Scam Warning, Edinburgh	 CashPoint Scam Warning	12	55.953252	-3.188267	Waterloo Pl
Cat shot, Edinburgh	 Cat shot	9	55.9416596	-3.2493063	Saughtonhall Ave
CCTV appeal, Edinburgh	 CCTV appeal	9	55.953252	-3.188267	Waterloo Pl
CCTV Appeal, Edinburgh	 CCTV Appeal	11	55.9458455	-3.2038418	Bread St
CCTV appeal Edinburgh	 None	13	55.954253	-3.1976651	Hanover St
Change to Parking Arrangments for Royal Garden Party	 None	16	55.9526083	-3.1718239	Abbey Strand
Charity benefits from Cannabis recovery	 None	15	55.9265214	-3.2794322	Broomhouse Pl South
Charity Bike Ride	 None	10	55.9519832	-3.2053503	George St
Charity cycle complete	 None	8	55.9483678	-3.1588508	Queens Drive
Charity number in custody cells	 None	9	55.953252	-3.188267	Waterloo Pl
Charity Rugby Match, Edinburgh	 Charity Rugby Match	8	55.960466	-3.2239029	Fettes Ave
Church vandalised,Bathgate	 None	9	55.953252	-3.188267	Waterloo Pl
Cliff fall, East Lothian	 Cliff fall	8	56.0100603	-2.6122154	Links Cottages
Cliff Fall, East Lothian	 Cliff Fall	16	56.0100603	-2.6122154	Links Cottages
Community spirit on the rise in the Calders	 None	16	55.9195544	-3.2946894	Calder Park
Community Appeal, Edinburgh	 Community Appeal	12	55.9665029	-3.1814103	Pilrig St
Community clean up day	 None	15	55.9458455	-3.2038418	Bread St
Community Commitment two years on	 None	11	55.953252	-3.188267	Waterloo Pl
Community safety surgeries	 None	13	55.9139938	-3.290384	Westburn Grove
Continued witness appeal	 None	10	55.9367395	-3.1912067	Chalmers Crescent
Copper thefts, arrests made	 Copper thefts	8	55.9475763	-3.143366	Meadowfield Drive
Counterfeit arrests, Linlithgow	 Counterfeit arrests	12	55.9763893	-3.6030728	High St
Counterfeit notes	 None	8	55.9020103	-3.2888302	Lanark Rd
Country roads - drive safely and wear a seatbelt	 None	11	55.953252	-3.188267	Waterloo Pl
Crack Cocaine and cash seized	 None	11	55.9382284	-3.2019714	Warrender Park Crescent
Custom violin recovered, Edinburgh	 Custom violin recovered	13	55.9500811	-3.1882366	The Royal Mile
Cyber-bullying prevention event - Leith	 None	9	55.953252	-3.188267	Waterloo Pl
Cycle Safety Campaign	 None	8	55.953252	-3.188267	Waterloo Pl
Cycling campaign urges respect for rules of the road	 None	11	55.953252	-3.188267	Waterloo Pl
Cyclist struck, witness appeal	 Cyclist struck	10	55.9547763	-3.1534709	Parsons Green Terrace
Man charged in connection with cyclist death	Death	11	55.9562716	-3.1360106	Portobello Rd
Cyclist identified, Scottish Borders	 Cyclist identified	11	55.9423331	-3.2048788	Lochrin Pl
Cyclist identified, Edinburgh	 Cyclist identified	15	55.911728	-3.2656867	Lanark Rd
Dale Bennett, family appeal	 Dale Bennett	11	55.844934	-3.0471322	Newbyres Crescent
Days of action, East Lothian	 Days of action	11	55.9586118	-2.9708716	Gardiner Rd
Dead cat found, Scottish Borders	 Dead cat found	14	55.6071886	-2.7673874	Essenside Drive
Deliberate fire-raising, Dalkeith	 Deliberate fire-raising	10	55.8681512	-3.0447242	Chester Square
Distraction theft, Midlothian	 Distraction theft	10	55.8669425	-3.0670201	Main St
Dog attack arrests - Edinburgh	 None	9	55.9741692	-3.1735282	Cables Wynd
Dog killed by hit and run driver	 None	16	55.9728257	-3.2381267	Crewe Rd N
Dog stolen,West Lothian	 None	14	55.953252	-3.188267	Waterloo Pl
Dog walker traced	 None	9	55.9416207	-3.2578925	Balgreen Park
Doorstep Crime,West Lothian	Doorstep Crime	11	55.953252	-3.188267	Waterloo Pl
Doorstep crime campaign	Doorstep Crime	13	55.953252	-3.188267	Waterloo Pl
Doorstep Crime Enforcement Day Update	Doorstep Crime	12	55.953252	-3.188267	Waterloo Pl
Driver assaulted, Bathgate	 Driver assaulted	11	55.9077241	-3.6500271	Belvedere Pl
Driver warning, East Lothian	 Driver warning	9	56.0011585	-2.5277157	Belhaven Rd
Drop in sessions for the deaf	 None	9	55.9572019	-3.1914391	Albany St
Drugs operation, Scottish Borders	 Drugs operation	16	55.6026807	-2.7558691	A6091
Drugs arrests, Edinburgh	 Drugs arrests	14	55.9334192	-3.2644177	Stenhouse Drive
Drugs arrest, Edinburgh	 Drugs arrest	15	55.936605	-3.2331244	Wardlaw Pl
Drugs recovered	Drug	8	55.958934	-3.2168839	Comely Bank Pl
Drugs recovery, West Lothian	 Drugs recovery	12	55.9625547	-3.5358248	Auldhill Crescent
Drugs seized, East Lothian	 Drugs seized	11	55.9555292	-2.9908929	County Square
Drugs Seized, Midlothian and Edinburgh	 Drugs Seized	8	55.9344186	-3.1712819	East Mayfield
Drugs theft - Edinburgh	Drug	8	55.9069662	-3.3121359	Riccarton Mains Rd
Drug arrest, Edinburgh	 Drug arrest	12	55.9424256	-3.1842824	Buccleuch St
Drug arrest, Edinburgh	 Drug arrest	12	55.9769048	-3.1980648	Craighall Crescent
Drug arrests, East Lothian	 Drug arrests	10	55.9633777	-2.9756599	High St
Drug arrests, East Lothian	 Drug arrests	11	55.937783	-3.0143022	Salters Rd
Drug arrest, Borders	 Drug arrest	12	55.4297113	-2.7886065	Wellfield Rd
Easter message to warrant offenders	 None	15	55.953252	-3.188267	Waterloo Pl
Edinburgh Community Resilience Workshops	 None	10	55.9485059	-3.2071005	Lothian Rd
Edinburgh Demonstrations round up	 None	15	55.953252	-3.188267	Waterloo Pl
Edinburgh Demonstrations pass peacefully	 None	15	55.9500811	-3.1882366	The Royal Mile
Edinburgh Demonstrations pass peacefully	 None	15	55.9500811	-3.1882366	The Royal Mile
Edinburgh robberies, men charged	 Edinburgh robberies	9	55.9246398	-3.2817049	Broomhouse Rd
Fatal road collision, Edinburgh	 Fatal road collision	12	55.9799387	-3.1737112	Ocean Drive
Fatal Rd Collision, Edinburgh	 Fatal Rd Collision	16	55.9799387	-3.1737112	Ocean Drive
Fatal Collision, boy named	 Fatal Collision	11	55.953252	-3.188267	Waterloo Pl
Fatal Collision Kirkliston	Collision	9	55.9536064	-3.4034038	Path Brae
Fatal colllision, Edinburgh - identity released	 Fatal colllision	15	55.9074804	-3.1419477	Hyvot Grove
Fatal Fire,Edinburgh	 None	9	55.9772154	-3.2280358	Wardieburn St West
Fatal motorcycle collision, victim named	 Fatal motorcycle collision	13	55.9381398	-3.125798	Bingham Way
Fatal Rd Collision,Edinburgh	Collision	9	55.9297983	-3.3018553	South Gyle Crescent
Fatal road collision,Edinburgh	Collision	8	55.9653655	-3.1899846	Broughton Rd
Fatal road collision, Edinburgh	 Fatal road collision	7	55.9297983	-3.3018553	South Gyle Crescent
Fatal road collision, man identified	 Fatal road collision	16	55.953252	-3.188267	Waterloo Pl
Fatal road collision, man named	 Fatal road collision	15	55.9444383	-3.2544713	Corstorphine Rd
Fatal road collision, Edinburgh	 Fatal road collision	13	55.911728	-3.2656867	Lanark Rd
Fatal road collision, Borders	 Fatal road collision	8	55.1772081	-2.8151326	South Hermitage St
Fatal road collision	Collision	10	55.953252	-3.188267	Waterloo Pl
Fatal road collision	Collision	7	55.9404415	-3.2846235	Corstorphine High St
Fatal Rd Collision, man identified	 Fatal Rd Collision	13	55.9729939	-3.2625132	Muirhouse View
Fatal road collision, Bathgate	 Fatal road collision	14	55.9037826	-3.6365361	Drumcross Rd
Fatal road collision, deceased identified	 Fatal road collision	14	55.9363939	-3.2996542	South Gyle Rd
Fatal road collision, Edinburgh	 Fatal road collision	13	55.9510402	-3.3125887	Maybury Rd
Fatal Rd collision, Edinburgh	 Fatal Rd collision	12	55.9444383	-3.2544713	Corstorphine Rd
Fatal road collision, man identified	 Fatal road collision	11	55.9453066	-3.1060055	Brand Gardens
Fatal road collision, man identified	 Fatal road collision	14	55.1776162	-2.8155782	Copshaw Pl
Fatal road collision, man identified	 Fatal road collision	8	55.9410967	-3.3066194	Glasgow Rd
Edinburgh Festival crime prevention advice	 None	17	55.9500811	-3.1882366	The Royal Mile
Festival theft warning, Edinburgh	 Festival theft warning	12	55.9530582	-3.2003033	George St
Festive drink drive campaign	 None	8	55.953252	-3.188267	Waterloo Pl
Fire, West Lothian	 Fire	16	55.8991762	-3.6096902	Anne St
Fire-raising, Armadale	 Fire-raising	8	55.9007764	-3.6975095	Colinshiel Court
Flares set off during Edinburgh Derby	 None	14	55.9616205	-3.1652117	Albion Business Centre
Flares stolen, Edinburgh	 Flares stolen	13	55.9744266	-3.1565033	Albert Rd
Football club lawnmower stolen	 None	8	55.953252	-3.188267	Waterloo Pl
Football Disorder, Edinburgh	 Football Disorder	15	55.9425198	-3.2011465	Brougham Pl
Fundraising West Lothian	 None	8	55.953252	-3.188267	Waterloo Pl
Get ready for winter	 None	8	55.953252	-3.188267	Waterloo Pl
Gravestones damaged	 None	6	55.953252	-3.188267	Waterloo Pl
Guilty Plea,sexual assualt	 None	8	55.953252	-3.188267	Waterloo Pl
Guily Plea-Alam Gotip Murder	Murder	15	55.953252	-3.188267	Waterloo Pl
Handbag snatch, West Lothian	 Handbag snatch	14	55.8897259	-3.6217422	Old Well Rd
Handbag snatch,Edinburgh	 None	8	55.9754122	-3.2554493	Salvesen Gardens
Handbag snatch,Edinburgh	 None	8	55.9196183	-3.2801583	Murrayburn Park
Handbag snatch, Edinburgh	 Handbag snatch	15	55.9602275	-3.1757612	Brunswick Rd
Handbag snatch, Edinburgh	 Handbag snatch	8	55.960182	-3.1520292	Lochend Crescent
Handbag snatch, Edinburgh	 Handbag snatch	14	55.9561884	-3.1731923	Carlton Terrace
