"(55.95720189999999, -3.1914391)",Albany Street
"(55.6026807, -2.7558691)",A6091
"(55.936605, -3.2331244)",Wardlaw Place
"(-39.7686536, 174.6267492)",Waverly Station
"(55.958934, -3.2168839)",Comely Bank Place
"(55.9625547, -3.5358248)",Auldhill Crescent
"(55.9555292, -2.9908929)",County Square
"(55.9344186, -3.1712819)",East Mayfield
"(55.9069662, -3.3121359)",Riccarton Mains Road
"(55.9424256, -3.1842824)",Buccleuch Street
"(55.4297113, -2.7886065)",Wellfield Road
"(55.9485059, -3.2071005)",Lothian Road
"(55.92463979999999, -3.2817049)",Broomhouse Road
"(55.9799387, -3.173711200000001)",Ocean Drive
"(55.9536064, -3.4034038)",Path Brae
"(55.9074804, -3.1419477)",Hyvot Grove
"(55.9772154, -3.2280358)",Wardieburn Street West
"(55.93813979999999, -3.125798)",Bingham Way
"(55.92979829999999, -3.3018553)",South Gyle Crescent
"(55.94443829999999, -3.2544713)",Corstorphine Road
"(55.911728, -3.2656867)",Lanark Road
"(55.17720809999999, -2.8151326)",South Hermitage Street
"(55.94044150000001, -3.2846235)",Corstorphine High Street
"(55.9729939, -3.2625132)",Muirhouse View
"(55.9037826, -3.6365361)",Drumcross Road
"(55.9363939, -3.2996542)",South Gyle Road
"(55.9510402, -3.3125887)",Maybury Road
"(55.9453066, -3.1060055)",Brand Gardens
"(55.1776162, -2.8155782)",Copshaw Place
"(55.9410967, -3.3066194)",Glasgow Road
"(55.9007764, -3.6975095)",Colinshiel Court
"(55.9616205, -3.1652117)",Albion Business Centre
"(55.97442659999999, -3.1565033)",Albert Road
"(55.9425198, -3.2011465)",Brougham Place
"(55.88972589999999, -3.6217422)",Old Well Road
"(55.9754122, -3.2554493)",Salvesen Gardens
"(55.9196183, -3.2801583)",Murrayburn Park
"(55.96022749999999, -3.1757612)",Brunswick Road
"(55.960182, -3.1520292)",Lochend Crescent
"(55.95618839999999, -3.1731923)",Carlton Terrace
"(55.9349268, -3.1720555)",Mayfield Terrace
"(55.9576936, -3.2204402)",Learmonth Grove
"(55.9107798, -3.2149027)",Comiston Springs Avenue
"(55.9530582, -3.2003033)",George Street
"(55.9640044, -3.172102900000001)",Dickson Street
"(55.9376375, -3.2061149)",Bruntsfield Place
"(55.9433082, -3.208926)",Fountainbridge
"(55.9536318, -3.2291907)",Queensferry Terrace
"(55.8894056, -3.5199376)",Columbia Avenue
"(55.9579062, -3.1891395)",Broughton Street
"(55.940366, -3.0711918)",Stoneyhill Drive
"(55.8958508, -3.2026281)",Biggar Road
"(55.96170619999999, -3.1835991)",Hopetoun Crescent
"(55.8868974, -3.0758565)",Newbattle Road
"(55.9312322, -3.4747701)",Parkwood Crescent
"(55.9286253, -3.0392815)",Carberry Road
"(55.8685924, -3.0627409)",Park Road
"(55.8719475, -3.0394235)",Bogwood Road
"(55.8402301, -3.2138857)",Edinburgh Road
"(55.94744859999999, -3.2060893)",Lothian Road
"(55.85005, -3.25505)",House of Muir Steading
"(56.05915150000001, -2.7375024)",Cromwell Road
"(55.8890975, -3.0796084)",Avenue Road
"(55.9322114, -3.2021069)",Clinton Road
"(55.9656805, -3.2439714)",Easter Drylaw Way
"(55.9247779, -3.2578338)",Longstone Park
"(55.920571, -3.2864858)",Sighthill View
"(55.9384096, -3.0619692)",Eskview Terrace
"(55.9352998, -3.2426261)",Gorgie Road
"(55.931309, -3.2377871)",Slateford Road
"(55.8458021, -3.051447)",Hunterfield Road
"(55.93150989999999, -3.2365062)",Slateford Road
"(55.9619051, -3.2042587)",Liddesdale Place
"(55.9100811, -3.2347302)",Colinton Mains Drive
"(55.9345873, -3.2151694)",Merchiston Crescent
"(55.4152541, -2.7916308)",Liddesdale Road
"(55.9244931, -3.2561811)",Redhall Crescent
"(55.93454, -3.2153124)",Merchiston Crescent
"(55.9396064, -3.1855738)",Gladstone Terrace
"(55.9554237, -3.2018214)",Heriot Row
"(55.9558668, -3.2602162)",Craigcrook Road
"(55.96892740000001, -3.2447269)",Ferry Road Grove
"(55.9480952, -3.1977538)",Johnston Terrace
"(55.85180090000001, -3.137546)",Greenside Place
"(55.9758865, -3.2033109)",East Trinity Road
"(55.9379889, -3.4807255)",Pyothall Road
